Periodo,PUNTAJE_ICFES,PUNTAJE_PONDERADO,ESTADO
2018-1,408.00,84.60,ADMITIDO
2018-1,396.00,80.80,ADMITIDO
2018-1,399.00,80.25,ADMITIDO
2018-1,398.00,79.05,ADMITIDO
2018-1,406.00,77.95,ADMITIDO
2018-1,382.00,77.70,ADMITIDO
2018-1,372.00,77.20,ADMITIDO
2018-1,373.00,77.15,INHABILITADO
2018-1,386.00,76.85,ADMITIDO
2018-1,383.00,76.85,ADMITIDO
2018-1,382.00,76.75,ADMITIDO
2018-1,368.00,76.60,ADMITIDO
2018-1,377.00,76.45,ADMITIDO
2018-1,363.00,76.40,ADMITIDO
2018-1,377.00,76.35,ADMITIDO
2018-1,383.00,76.20,ADMITIDO
2018-1,372.00,75.95,ADMITIDO
2018-1,362.00,75.40,ADMITIDO
2018-1,370.00,75.30,ADMITIDO
2018-1,371.00,75.25,ADMITIDO
2018-1,362.00,75.20,ADMITIDO
2018-1,378.00,74.95,ADMITIDO
2018-1,381.00,74.90,ADMITIDO
2018-1,372.00,74.55,ADMITIDO
2018-1,368.00,74.50,ADMITIDO
2018-1,373.00,74.50,ADMITIDO
2018-1,372.00,74.45,ADMITIDO
2018-1,366.00,74.25,ADMITIDO
2018-1,374.00,74.25,ADMITIDO
2018-1,353.00,74.15,ADMITIDO
2018-1,372.00,74.10,ADMITIDO
2018-1,371.00,74.05,ADMITIDO
2018-1,346.00,73.90,ADMITIDO
2018-1,371.00,73.80,ADMITIDO
2018-1,364.00,73.80,ADMITIDO
2018-1,360.00,73.70,ADMITIDO
2018-1,368.00,73.70,ADMITIDO
2018-1,368.00,73.60,ADMITIDO
2018-1,362.00,73.60,ADMITIDO
2018-1,368.00,73.60,ADMITIDO
2018-1,365.00,73.45,ADMITIDO
2018-1,363.00,73.40,ADMITIDO
2018-1,370.00,73.40,ADMITIDO
2018-1,371.00,73.40,ADMITIDO
2018-1,367.00,73.40,ADMITIDO
2018-1,353.00,73.25,ADMITIDO
2018-1,360.00,73.25,ADMITIDO
2018-1,365.00,73.25,ADMITIDO
2018-1,368.00,73.15,ADMITIDO
2018-1,366.00,73.15,ADMITIDO
2018-1,359.00,72.90,ADMITIDO
2018-1,358.00,72.90,ADMITIDO
2018-1,353.00,72.85,ADMITIDO
2018-1,358.00,72.80,ADMITIDO
2018-1,360.00,72.75,ADMITIDO
2018-1,362.00,72.75,ADMITIDO
2018-1,365.00,72.70,ADMITIDO
2018-1,362.00,72.60,ADMITIDO
2018-1,361.00,72.60,ADMITIDO
2018-1,361.00,72.60,ADMITIDO
2018-1,362.00,72.55,ADMITIDO
2018-1,363.00,72.50,ADMITIDO
2018-1,362.00,72.40,ADMITIDO
2018-1,355.00,72.40,ADMITIDO
2018-1,361.00,72.30,ADMITIDO
2018-1,365.00,72.30,ADMITIDO
2018-1,355.00,72.30,ADMITIDO
2018-1,359.00,72.25,ADMITIDO
2018-1,361.00,72.20,ADMITIDO
2018-1,359.00,72.10,ADMITIDO
2018-1,355.00,72.05,ADMITIDO
2018-1,367.00,72.05,ADMITIDO
2018-1,355.00,72.00,ADMITIDO
2018-1,360.00,72.00,ADMITIDO
2018-1,356.00,71.95,ADMITIDO
2018-1,360.00,71.90,ADMITIDO
2018-1,352.00,71.85,ADMITIDO
2018-1,354.00,71.85,ADMITIDO
2018-1,359.00,71.80,ADMITIDO
2018-1,356.00,71.80,ADMITIDO
2018-1,361.00,71.75,ADMITIDO
