N°,Periodo,PUNTAJE_ICFES,PUNTAJE_PONDERADO,ESTADO
1,2021-1,398.00,80.15,ADMITIDO
2,2021-1,377.00,78.80,ADMITIDO
3,2021-1,387.00,78.35,ADMITIDO
4,2021-1,397.00,77.60,ADMITIDO
5,2021-1,384.00,77.20,ADMITIDO
6,2021-1,374.00,76.80,ADMITIDO
7,2021-1,362.00,76.65,ADMITIDO
8,2021-1,383.00,76.45,ADMITIDO
9,2021-1,375.00,76.40,ADMITIDO
10,2021-1,373.00,76.25,ADMITIDO
11,2021-1,375.00,76.20,ADMITIDO
12,2021-1,371.00,76.20,ADMITIDO
13,2021-1,372.00,75.85,ADMITIDO
14,2021-1,373.00,75.05,ADMITIDO
15,2021-1,369.00,75.00,ADMITIDO
16,2021-1,372.00,74.80,ADMITIDO
17,2021-1,377.00,74.75,ADMITIDO
18,2021-1,365.00,74.65,ADMITIDO
19,2021-1,370.00,74.60,ADMITIDO
20,2021-1,371.00,74.50,ADMITIDO
21,2021-1,361.00,74.45,ADMITIDO
22,2021-1,373.00,74.30,ADMITIDO
23,2021-1,370.00,74.25,ADMITIDO
24,2021-1,371.00,74.20,ADMITIDO
25,2021-1,367.00,73.95,ADMITIDO
26,2021-1,360.00,73.90,ADMITIDO
27,2021-1,356.00,73.90,ADMITIDO
28,2021-1,357.00,73.80,ADMITIDO
29,2021-1,365.00,73.75,ADMITIDO
30,2021-1,370.00,73.65,ADMITIDO
31,2021-1,353.00,73.55,ADMITIDO
32,2021-1,365.00,73.50,ADMITIDO
33,2021-1,368.00,73.45,ADMITIDO
34,2021-1,364.00,73.35,ADMITIDO
35,2021-1,368.00,73.30,ADMITIDO
36,2021-1,368.00,73.30,ADMITIDO
37,2021-1,374.00,73.25,ADMITIDO
38,2021-1,363.00,73.25,ADMITIDO
39,2021-1,358.00,73.20,ADMITIDO
40,2021-1,355.00,73.05,ADMITIDO
41,2021-1,367.00,73.00,ADMITIDO
42,2021-1,363.00,73.00,ADMITIDO
43,2021-1,352.00,72.90,ADMITIDO
44,2021-1,369.00,72.80,ADMITIDO
45,2021-1,365.00,72.80,ADMITIDO
46,2021-1,353.00,72.75,ADMITIDO
47,2021-1,355.00,72.70,ADMITIDO
48,2021-1,354.00,72.65,ADMITIDO
49,2021-1,352.00,72.60,ADMITIDO
50,2021-1,365.00,72.45,ADMITIDO
51,2021-1,358.00,72.45,ADMITIDO
52,2021-1,358.00,72.45,ADMITIDO
53,2021-1,356.00,72.45,ADMITIDO
54,2021-1,368.00,72.35,ADMITIDO
55,2021-1,357.00,72.35,ADMITIDO
56,2021-1,362.00,72.30,ADMITIDO
57,2021-1,355.00,72.30,ADMITIDO
58,2021-1,354.00,72.30,ADMITIDO
59,2021-1,363.00,72.25,ADMITIDO
60,2021-1,355.00,72.25,ADMITIDO
61,2021-1,360.00,72.20,ADMITIDO
62,2021-1,359.00,72.20,ADMITIDO
63,2021-1,346.00,72.10,ADMITIDO
64,2021-1,364.00,72.05,ADMITIDO
65,2021-1,358.00,72.05,ADMITIDO
66,2021-1,352.00,72.05,ADMITIDO
67,2021-1,365.00,71.95,ADMITIDO
68,2021-1,344.00,71.95,ADMITIDO
69,2021-1,353.00,71.90,ADMITIDO
70,2021-1,352.00,71.85,ADMITIDO
71,2021-1,346.00,71.85,ADMITIDO
72,2021-1,364.00,71.75,ADMITIDO
73,2021-1,359.00,71.75,ADMITIDO
74,2021-1,360.00,71.70,ADMITIDO
75,2021-1,357.00,71.70,ADMITIDO
76,2021-1,348.00,71.70,ADMITIDO
77,2021-1,347.00,71.60,ADMITIDO
78,2021-1,340.00,71.60,ADMITIDO
79,2021-1,351.00,71.55,ADMITIDO
80,2021-1,350.00,71.50,ADMITIDO
81,2021-1,358.00,71.35,ADMITIDO
82,2021-1,354.00,71.35,ADMITIDO
83,2021-1,353.00,71.35,ADMITIDO
84,2021-1,351.00,71.35,ADMITIDO
85,2021-1,347.00,71.35,ADMITIDO
86,2021-1,362.00,71.30,ADMITIDO
87,2021-1,355.00,71.30,ADMITIDO
88,2021-1,353.00,71.30,ADMITIDO
89,2021-1,344.00,71.30,ADMITIDO
90,2021-1,362.00,71.25,ADMITIDO
91,2021-1,346.00,71.25,ADMITIDO
92,2021-1,362.00,71.20,ADMITIDO
93,2021-1,350.00,71.20,ADMITIDO
94,2021-1,349.00,71.20,ADMITIDO
95,2021-1,349.00,71.20,ADMITIDO
96,2021-1,348.00,71.20,ADMITIDO
97,2021-1,345.00,71.20,ADMITIDO
98,2021-1,358.00,71.15,ADMITIDO
99,2021-1,355.00,71.15,ADMITIDO
100,2021-1,358.00,71.10,ADMITIDO
101,2021-1,351.00,71.10,ADMITIDO
102,2021-1,351.00,71.10,ADMITIDO
103,2021-1,347.00,71.10,ADMITIDO
104,2021-1,344.00,71.10,ADMITIDO
105,2021-1,352.00,71.05,ADMITIDO
106,2021-1,352.00,71.00,ADMITIDO
107,2021-1,351.00,71.00,ADMITIDO
108,2021-1,348.00,71.00,ADMITIDO
109,2021-1,350.00,70.95,ADMITIDO
110,2021-1,350.00,70.95,ADMITIDO
111,2021-1,361.00,70.90,ADMITIDO
112,2021-1,352.00,70.90,ADMITIDO
113,2021-1,349.00,70.90,ADMITIDO
114,2021-1,356.00,70.85,ADMITIDO
115,2021-1,342.00,70.80,ADMITIDO
116,2021-1,361.00,70.75,ADMITIDO
117,2021-1,348.00,70.70,ADMITIDO
118,2021-1,340.00,70.70,ADMITIDO
119,2021-1,355.00,70.65,ADMITIDO
120,2021-1,354.00,70.65,ADMITIDO
121,2021-1,344.00,70.60,ADMITIDO
122,2021-1,342.00,70.60,ADMITIDO
123,2021-1,350.00,70.55,ADMITIDO
124,2021-1,347.00,70.55,ADMITIDO
125,2021-1,346.00,70.55,ADMITIDO
126,2021-1,343.00,70.55,ADMITIDO
127,2021-1,352.00,70.50,ADMITIDO
128,2021-1,342.00,70.50,ADMITIDO
129,2021-1,356.00,70.45,ADMITIDO
130,2021-1,355.00,70.45,ADMITIDO
131,2021-1,350.00,70.45,ADMITIDO
132,2021-1,348.00,70.45,ADMITIDO
133,2021-1,354.00,70.40,OPCIONADO
134,2021-1,354.00,70.40,OPCIONADO
135,2021-1,348.00,70.40,OPCIONADO
136,2021-1,355.00,70.35,OPCIONADO
137,2021-1,349.00,70.35,OPCIONADO
138,2021-1,345.00,70.35,OPCIONADO
139,2021-1,345.00,70.35,OPCIONADO
140,2021-1,357.00,70.30,OPCIONADO
141,2021-1,350.00,70.30,OPCIONADO
142,2021-1,342.00,70.30,OPCIONADO
143,2021-1,353.00,70.20,OPCIONADO
144,2021-1,352.00,70.20,OPCIONADO
145,2021-1,350.00,70.20,OPCIONADO
146,2021-1,350.00,70.20,OPCIONADO
147,2021-1,350.00,70.20,OPCIONADO
148,2021-1,349.00,70.20,OPCIONADO
149,2021-1,346.00,70.20,OPCIONADO
150,2021-1,356.00,70.15,OPCIONADO
151,2021-1,351.00,70.15,OPCIONADO
152,2021-1,351.00,70.15,OPCIONADO
153,2021-1,349.00,70.15,OPCIONADO
154,2021-1,344.00,70.15,OPCIONADO
155,2021-1,353.00,70.05,OPCIONADO
156,2021-1,350.00,70.05,OPCIONADO
157,2021-1,345.00,70.05,OPCIONADO
158,2021-1,347.00,70.00,OPCIONADO
159,2021-1,344.00,69.90,OPCIONADO
160,2021-1,343.00,69.90,OPCIONADO
161,2021-1,340.00,69.90,OPCIONADO
162,2021-1,348.00,69.85,OPCIONADO
163,2021-1,347.00,69.85,OPCIONADO
164,2021-1,347.00,69.85,OPCIONADO
165,2021-1,347.00,69.80,OPCIONADO
166,2021-1,358.00,69.75,OPCIONADO
167,2021-1,347.00,69.75,OPCIONADO
168,2021-1,346.00,69.75,OPCIONADO
169,2021-1,345.00,69.75,OPCIONADO
170,2021-1,342.00,69.75,OPCIONADO
171,2021-1,341.00,69.75,OPCIONADO
172,2021-1,340.00,69.75,OPCIONADO
173,2021-1,345.00,69.70,OPCIONADO
174,2021-1,335.00,69.70,OPCIONADO
175,2021-1,358.00,69.65,OPCIONADO
176,2021-1,340.00,69.65,OPCIONADO
177,2021-1,353.00,69.60,OPCIONADO
178,2021-1,350.00,69.60,OPCIONADO
179,2021-1,350.00,69.60,OPCIONADO
180,2021-1,346.00,69.60,OPCIONADO
181,2021-1,345.00,69.60,OPCIONADO
182,2021-1,355.00,69.55,OPCIONADO
183,2021-1,351.00,69.55,OPCIONADO
184,2021-1,344.00,69.50,OPCIONADO
185,2021-1,337.00,69.40,OPCIONADO
186,2021-1,350.00,69.35,OPCIONADO
187,2021-1,347.00,69.35,OPCIONADO
188,2021-1,343.00,69.35,OPCIONADO
189,2021-1,346.00,69.30,OPCIONADO
190,2021-1,345.00,69.30,OPCIONADO
191,2021-1,337.00,69.30,OPCIONADO
192,2021-1,354.00,69.25,OPCIONADO
193,2021-1,349.00,69.25,OPCIONADO
194,2021-1,345.00,69.25,OPCIONADO
195,2021-1,340.00,69.25,INHABILITADO
196,2021-1,333.00,69.25,OPCIONADO
197,2021-1,343.00,69.20,OPCIONADO
198,2021-1,339.00,69.20,OPCIONADO
199,2021-1,337.00,69.20,OPCIONADO
200,2021-1,353.00,69.15,NO
201,2021-1,334.00,69.15,NO
202,2021-1,342.00,69.10,NO
203,2021-1,341.00,69.10,NO
204,2021-1,341.00,69.10,NO
205,2021-1,345.00,69.05,NO
206,2021-1,343.00,69.05,NO
207,2021-1,337.00,69.05,NO
208,2021-1,348.00,69.00,NO
209,2021-1,343.00,69.00,NO
210,2021-1,342.00,69.00,NO
211,2021-1,350.00,68.90,NO
212,2021-1,347.00,68.90,NO
213,2021-1,345.00,68.90,NO
214,2021-1,335.00,68.85,NO
215,2021-1,335.00,68.80,NO
216,2021-1,333.00,68.80,NO
217,2021-1,327.00,68.80,NO
218,2021-1,341.00,68.75,NO
219,2021-1,350.00,68.70,NO
220,2021-1,343.00,68.70,NO
221,2021-1,342.00,68.70,NO
222,2021-1,332.00,68.70,NO
223,2021-1,348.00,68.65,NO
224,2021-1,344.00,68.65,NO
225,2021-1,336.00,68.65,NO
226,2021-1,335.00,68.65,NO
227,2021-1,348.00,68.60,NO
228,2021-1,344.00,68.60,NO
229,2021-1,341.00,68.60,NO
230,2021-1,340.00,68.60,NO
231,2021-1,331.00,68.60,NO
232,2021-1,345.00,68.55,NO
233,2021-1,341.00,68.55,NO
234,2021-1,342.00,68.50,NO
235,2021-1,342.00,68.50,NO
236,2021-1,340.00,68.50,NO
237,2021-1,337.00,68.50,NO
238,2021-1,334.00,68.50,NO
239,2021-1,338.00,68.45,NO
240,2021-1,327.00,68.45,NO
241,2021-1,342.00,68.40,NO
242,2021-1,342.00,68.40,NO
243,2021-1,335.00,68.40,NO
244,2021-1,333.00,68.40,NO
245,2021-1,335.00,68.35,NO
246,2021-1,345.00,68.30,NO
247,2021-1,345.00,68.30,NO
248,2021-1,345.00,68.30,NO
249,2021-1,340.00,68.30,NO
250,2021-1,337.00,68.30,NO
251,2021-1,338.00,68.25,NO
252,2021-1,338.00,68.25,NO
253,2021-1,336.00,68.25,NO
254,2021-1,335.00,68.25,NO
255,2021-1,334.00,68.25,NO
256,2021-1,333.00,68.25,NO
257,2021-1,340.00,68.20,NO
258,2021-1,330.00,68.20,NO
259,2021-1,344.00,68.15,NO
260,2021-1,338.00,68.15,NO
261,2021-1,333.00,68.15,NO
262,2021-1,333.00,68.15,NO
263,2021-1,332.00,68.15,NO
264,2021-1,321.00,68.15,NO
265,2021-1,344.00,68.10,NO
266,2021-1,339.00,68.10,NO
267,2021-1,330.00,68.10,NO
268,2021-1,351.00,68.05,NO
269,2021-1,343.00,68.05,NO
270,2021-1,342.00,68.05,NO
271,2021-1,340.00,68.05,NO
272,2021-1,339.00,68.05,NO
273,2021-1,333.00,68.05,NO
274,2021-1,341.00,68.00,NO
275,2021-1,340.00,68.00,NO
276,2021-1,339.00,68.00,NO
277,2021-1,337.00,68.00,NO
278,2021-1,317.00,68.00,NO
279,2021-1,343.00,67.95,NO
280,2021-1,338.00,67.95,NO
281,2021-1,338.00,67.95,NO
282,2021-1,338.00,67.95,NO
283,2021-1,328.00,67.95,NO
284,2021-1,343.00,67.90,NO
285,2021-1,339.00,67.90,NO
286,2021-1,338.00,67.90,NO
287,2021-1,335.00,67.90,NO
288,2021-1,344.00,67.85,NO
289,2021-1,344.00,67.85,NO
290,2021-1,330.00,67.85,NO
291,2021-1,330.00,67.85,NO
292,2021-1,329.00,67.85,NO
293,2021-1,340.00,67.80,NO
294,2021-1,330.00,67.80,NO
295,2021-1,328.00,67.80,NO
296,2021-1,342.00,67.75,NO
297,2021-1,339.00,67.75,NO
298,2021-1,331.00,67.75,NO
299,2021-1,327.00,67.75,NO
300,2021-1,348.00,67.70,NO
301,2021-1,340.00,67.70,NO
302,2021-1,338.00,67.70,NO
303,2021-1,337.00,67.70,NO
304,2021-1,333.00,67.70,NO
305,2021-1,343.00,67.65,NO
306,2021-1,342.00,67.65,NO
307,2021-1,338.00,67.65,NO
308,2021-1,336.00,67.65,NO
309,2021-1,334.00,67.65,NO
310,2021-1,333.00,67.65,NO
311,2021-1,333.00,67.65,NO
312,2021-1,340.00,67.60,NO
313,2021-1,328.00,67.60,NO
314,2021-1,339.00,67.55,NO
315,2021-1,333.00,67.55,NO
316,2021-1,332.00,67.55,NO
317,2021-1,331.00,67.55,NO
318,2021-1,330.00,67.55,NO
319,2021-1,323.00,67.55,NO
320,2021-1,346.00,67.50,NO
321,2021-1,340.00,67.50,NO
322,2021-1,337.00,67.50,NO
323,2021-1,336.00,67.50,NO
324,2021-1,332.00,67.50,NO
325,2021-1,320.00,67.50,NO
326,2021-1,345.00,67.45,NO
327,2021-1,340.00,67.45,NO
328,2021-1,339.00,67.45,NO
329,2021-1,332.00,67.45,NO
330,2021-1,323.00,67.45,NO
331,2021-1,342.00,67.40,NO
332,2021-1,338.00,67.40,NO
333,2021-1,337.00,67.40,NO
334,2021-1,331.00,67.40,NO
335,2021-1,327.00,67.40,NO
336,2021-1,346.00,67.35,NO
337,2021-1,333.00,67.35,NO
338,2021-1,334.00,67.30,NO
339,2021-1,333.00,67.25,NO
340,2021-1,332.00,67.25,NO
341,2021-1,322.00,67.25,NO
342,2021-1,340.00,67.20,NO
343,2021-1,338.00,67.20,NO
344,2021-1,333.00,67.20,NO
345,2021-1,332.00,67.20,NO
346,2021-1,332.00,67.20,NO
347,2021-1,326.00,67.20,NO
348,2021-1,325.00,67.20,NO
349,2021-1,322.00,67.20,NO
350,2021-1,335.00,67.15,NO
351,2021-1,335.00,67.15,NO
352,2021-1,326.00,67.15,NO
353,2021-1,338.00,67.10,NO
354,2021-1,335.00,67.10,NO
355,2021-1,334.00,67.05,NO
356,2021-1,346.00,67.00,NO
357,2021-1,340.00,67.00,NO
358,2021-1,339.00,67.00,NO
359,2021-1,336.00,67.00,NO
360,2021-1,332.00,67.00,NO
361,2021-1,334.00,66.95,NO
362,2021-1,338.00,66.90,NO
363,2021-1,338.00,66.90,NO
364,2021-1,335.00,66.90,NO
365,2021-1,334.00,66.90,NO
366,2021-1,330.00,66.90,NO
367,2021-1,328.00,66.90,NO
368,2021-1,326.00,66.90,NO
369,2021-1,325.00,66.85,NO
370,2021-1,338.00,66.80,NO
371,2021-1,330.00,66.80,NO
372,2021-1,341.00,66.75,NO
373,2021-1,339.00,66.75,NO
374,2021-1,337.00,66.75,NO
375,2021-1,336.00,66.75,NO
376,2021-1,333.00,66.75,NO
377,2021-1,330.00,66.75,NO
378,2021-1,327.00,66.75,NO
379,2021-1,325.00,66.75,NO
380,2021-1,322.00,66.75,NO
381,2021-1,342.00,66.70,NO
382,2021-1,340.00,66.70,NO
383,2021-1,340.00,66.70,NO
384,2021-1,337.00,66.70,NO
385,2021-1,334.00,66.70,NO
386,2021-1,333.00,66.70,NO
387,2021-1,330.00,66.70,NO
388,2021-1,327.00,66.70,NO
389,2021-1,327.00,66.70,NO
